index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
2083,84,2,177,80,1,2,2,11,True,4077,False,True,3,urban,natural,0.7748404740200547,0.22515952597994532,True,False,283.3333333333333,247.0,True,False
2084,85,2,154,25,2,1,1,11,True,4126,True,False,1,humans,urban,0.5115848007414272,0.48841519925857274,True,False,157.71428571428572,210.8,False,True
2085,86,2,89,20,2,1,2,11,True,4175,True,False,1,urban,urban,0.572139303482587,0.42786069651741293,True,False,230.0,215.0,True,False
2086,87,2,187,138,1,2,2,11,True,4224,False,True,3,urban,natural,0.4195205479452055,0.5804794520547946,False,True,326.6666666666667,339.0,False,True
2087,88,2,40,88,1,2,2,11,True,4273,False,True,3,urban,urban,0.3925233644859813,0.6074766355140186,False,True,280.0,216.66666666666666,True,False
2088,89,2,168,119,2,1,1,11,True,4322,True,False,1,urban,humans,0.4835640138408305,0.5164359861591695,False,True,279.5,298.5,False,True
2089,90,2,34,29,2,1,2,11,True,4371,True,False,1,urban,urban,0.44869402985074625,0.5513059701492538,False,True,192.4,236.4,False,True
2090,91,2,33,5,1,2,2,11,True,4420,False,True,3,urban,indoor,0.3780607247796278,0.6219392752203722,False,True,386.0,254.0,True,False
2091,92,2,179,100,2,1,1,11,True,4469,True,False,1,humans,faces,0.7663230240549829,0.23367697594501718,True,False,446.0,181.33333333333334,True,False
2092,93,2,175,72,1,2,2,11,False,4518,False,True,3,humans,natural,0.6826051112943117,0.3173948887056884,True,False,236.57142857142858,192.5,True,False
2093,94,2,50,14,2,1,1,11,True,4567,True,False,1,natural,urban,0.39855072463768115,0.6014492753623188,False,True,293.3333333333333,332.0,False,True
2094,95,2,174,62,2,1,2,11,True,4616,True,False,1,urban,urban,0.7701048951048951,0.2298951048951049,True,False,293.6666666666667,263.0,True,False
2095,96,2,135,120,2,1,1,11,False,4665,True,False,1,faces,urban,0.5970790378006873,0.4029209621993127,True,False,347.5,469.0,False,True
2096,97,2,23,197,2,1,1,11,True,4714,True,False,1,humans,urban,0.38562664329535495,0.6143733567046451,False,True,220.0,280.4,False,True
2097,98,2,84,183,1,2,1,11,True,4763,False,True,3,humans,humans,0.5063176895306859,0.4936823104693141,True,False,280.5,273.5,True,False
2098,99,2,92,188,2,1,1,11,True,4812,True,False,1,urban,humans,0.3031674208144796,0.6968325791855203,False,True,223.33333333333334,220.0,True,False
2099,100,2,85,156,1,2,2,11,True,4861,False,True,3,natural,urban,0.3534715960324617,0.6465284039675383,False,True,196.0,286.8,False,True
2100,101,3,88,194,1,2,1,11,True,4910,False,True,3,urban,natural,0.811491935483871,0.18850806451612903,True,False,268.3333333333333,187.0,True,False
2101,102,3,71,58,1,2,1,11,True,4959,False,True,3,urban,humans,0.32829181494661924,0.6717081850533808,False,True,246.0,215.71428571428572,True,False
2102,103,3,105,154,2,1,2,11,True,5008,True,False,1,humans,humans,0.46106194690265484,0.5389380530973451,False,True,347.3333333333333,243.6,True,False
2103,104,3,46,103,2,1,2,11,True,5057,True,False,1,urban,natural,0.40791896869244937,0.5920810313075506,False,True,295.3333333333333,214.33333333333334,True,False
2104,105,3,97,162,2,1,2,11,True,5106,True,False,1,urban,urban,0.5074106364428945,0.4925893635571055,True,False,232.8,565.0,False,True
2105,106,3,26,172,2,1,2,11,True,5155,True,False,1,urban,urban,0.571301247771836,0.428698752228164,True,False,320.5,240.5,True,False
2106,107,3,80,28,1,2,1,11,True,5204,False,True,3,natural,natural,0.31564245810055863,0.6843575418994413,False,True,169.5,294.0,False,True
2107,108,3,72,173,1,2,1,11,True,5253,False,True,3,natural,natural,0.2812241521918941,0.7187758478081059,False,True,340.0,289.6666666666667,True,False
2108,109,3,64,131,1,2,1,11,True,5302,False,True,3,urban,urban,0.651031894934334,0.34896810506566606,True,False,198.28571428571428,248.0,False,True
2109,110,3,87,160,1,2,1,11,True,5351,False,True,3,urban,faces,0.24405850091407677,0.7559414990859232,False,True,267.0,275.6666666666667,False,True
2110,111,3,158,112,1,2,1,11,True,5400,False,True,3,urban,natural,0.6377952755905512,0.36220472440944884,True,False,291.6,414.0,False,True
2111,112,3,168,6,1,2,1,11,True,5449,False,True,3,urban,urban,0.46636363636363637,0.5336363636363637,False,True,205.2,391.3333333333333,False,True
2112,113,3,137,182,1,2,2,11,True,5498,False,True,3,natural,urban,0.46485473289597,0.53514526710403,False,True,198.4,380.6666666666667,False,True
2113,114,3,1,121,2,1,2,11,True,5547,True,False,1,natural,urban,0.5144927536231884,0.4855072463768116,True,False,284.0,214.4,True,False
2114,115,3,34,110,1,2,2,11,True,5596,False,True,3,urban,faces,0.4278656126482213,0.5721343873517787,False,True,288.6666666666667,231.6,True,False
2115,116,3,104,35,2,1,2,11,True,5645,True,False,1,indoor,humans,0.3023255813953488,0.6976744186046512,False,True,338.0,222.85714285714286,True,False
2116,117,3,93,111,1,2,2,11,True,5694,False,True,3,faces,faces,0.5815217391304348,0.41847826086956524,True,False,321.0,308.0,True,False
2117,118,3,30,97,2,1,2,11,True,5743,True,False,1,indoor,urban,0.6355555555555555,0.36444444444444446,True,False,286.0,410.0,False,True
2118,119,3,199,124,2,1,2,11,True,5792,True,False,1,natural,faces,0.4553049289891395,0.5446950710108605,False,True,363.3333333333333,260.8,True,False
2119,120,3,4,112,2,1,2,11,True,5841,True,False,1,indoor,natural,0.6730937773882559,0.32690622261174407,True,False,384.0,373.0,True,False
2120,121,3,155,117,2,1,2,11,True,5890,True,False,1,urban,natural,0.5044563279857398,0.49554367201426025,True,False,226.4,278.0,False,True
2121,122,3,180,50,2,1,2,11,True,5939,True,False,1,faces,natural,0.4373913043478261,0.5626086956521739,False,True,201.2,323.5,False,True
2122,123,3,23,198,1,2,1,11,True,5988,False,True,3,humans,humans,0.4127659574468085,0.5872340425531914,False,True,323.3333333333333,276.0,True,False
2123,124,3,11,77,1,2,1,11,True,6037,False,True,3,urban,natural,0.3165829145728643,0.6834170854271356,False,True,252.0,326.4,False,True
2124,125,3,130,156,2,1,1,11,True,6086,True,False,1,humans,urban,0.7674216027874564,0.23257839721254356,True,False,352.4,534.0,False,True
2125,126,3,42,192,2,1,2,11,True,6135,True,False,1,noise,urban,0.0,1.0,False,True,,267.25,False,False
2126,127,3,140,98,1,2,1,11,True,6184,False,True,3,indoor,natural,0.6137377341659233,0.3862622658340767,True,False,229.33333333333334,216.5,True,False
2127,128,3,75,82,1,2,1,11,True,6233,False,True,3,faces,urban,0.3274410774410774,0.6725589225589226,False,True,155.6,319.6,False,True
2128,129,3,108,126,1,2,1,11,True,6282,False,True,3,urban,natural,0.7429352780309936,0.25706472196900637,True,False,203.75,188.0,True,False
2129,130,3,163,10,2,1,1,11,True,6331,True,False,1,urban,natural,0.42035398230088494,0.5796460176991151,False,True,237.5,262.0,False,True
2130,131,3,18,111,2,1,2,11,True,6380,True,False,1,urban,faces,0.2881944444444444,0.7118055555555556,False,True,221.33333333333334,273.3333333333333,False,True
2131,132,3,30,57,1,2,1,11,True,6429,False,True,3,indoor,humans,0.24216765453005928,0.7578323454699407,False,True,286.0,298.3333333333333,False,True
2132,133,3,68,6,2,1,2,11,True,6478,True,False,1,urban,urban,0.40974729241877256,0.5902527075812274,False,True,302.6666666666667,261.6,True,False
